"Id","Username","Password","Firstname","Lastname","Phone","Email","IsReviewer","IsAdmin"
"1","Ebregolas4864","#aPPeD4507","Elijah","Bregolas","572-304-5825","ebregolas33@gmail.net","0","1"
"2","Jelwing2133","sP*nsOreD5345","Janice","Elwing",,"jelwing96@yahoo.biz","0","0"
"3","Dsamwise1724","arChitectuRe#3081","Dorothy","Samwise","510-134-5918",,"1","0"
"4","Adurin747","DE$ver7683","Anna","Durin","862-632-6079",,"1","1"
"5","Ebeleriand6894","force@UL5854","Edward","Beleriand","956-075-6936","ebeleriand@mail2u.co.uk","1","1"
"6","Amelian46","!rAFT1782","Arthur","Melian","989-370-7799","amelian@mailbox.biz","1","1"
"7","Aelladan13","loCal^zatiO%8643","Alan","Elladan","281-963-5539",,"1","1"
"8","Bsharku51","COMm@n7778","Brianna","Sharku","865-062-9626",,"0","0"
"9","Tleaflock39","anniVeRSa!y7280","Timothy","Leaflock",,"timothy.leaflock@somemail.biz","0","0"
"10","Kalcarin74","p(nnIeS5032","Katrina","Alcarin","680-996-1679","katrina.alcarin@gmail.co.uk","1","1"
"11","Dwormtongue1577","RE$ortedly4363","Daniel","Wormtongue",,"dwormtongue57@everymail.net","0","0"
"12","Bbaranor79","d^ceY7170","Bryant","Baranor","507-624-5704",,"0","0"
"13","Nfinwe89","chaiRM)$2172","Nicholas","Finwe",,,"0","0"
"14","Apippin883","*LliqUid6328","April","Pippin",,"apippin@mail2u.biz","0","0"
"15","Mecthelion493","loudspEake(9117","Marishka","Ecthelion","816-068-1009","mecthelion@mailbox.co.uk","0","1"
"16","Snori1517","dAMag$^4962","Susan","Nori","412-389-4775",,"1","1"
"17","Ahelm hammerhand2759","!oChes$er6349","Annabelle","Helm Hammerhand","406-818-0903","ahelmhammerhand59@somemail.org","1","0"
"18","Selwing22","idi$s$nCrAsies2913","Sean","Elwing",,"sean.elwing@everymail.net","0","1"
"19","Wsulimo3123","juStI@e$5321","Walter","Sulimo","610-999-8135",,"0","1"
"20","Efili65","d^SCendi)G2639","Evie","Fili","572-237-8964","efili88@yahoo.us","1","0"
"21","Jbirchseed8767","Bu*f5288","Justice","Birchseed",,"jbirchseed16@mailbox.us","0","0"
"22","Lbutterbur253",")@Eled2807","Lydia","Butterbur","650-835-4352","lbutterbur90@mail2u.co.uk","1","0"
"23","Cmaglor94","g%OuPeD4165","Cynthia","Maglor",,"cmaglor@mail2u.us","0","0"
"24","Fpalantir2598","BE^#D6890","Felicity","Palantir","678-444-0249","fpalantir@bizmail.biz","1","1"
